PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W460-Curve_Description,W460-Fit_LogAC50,W460-Fit_HillSlope,W460-Fit_R2,W460-Fit_InfiniteActivity,W460-Fit_ZeroActivity,W460-Fit_CurveClass,W460-Excluded_Points,W460-Max_Response,W460-Activity at 0.0004332835 uM,W460-Activity at 0.00130 uM,W460-Activity at 0.00388 uM,W460-Activity at 0.00491 uM,W460-Activity at 0.012 uM,W460-Activity at 0.035 uM,W460-Activity at 0.057 uM,W460-Activity at 0.105 uM,W460-Activity at 0.315 uM,W460-Activity at 0.650 uM,W460-Activity at 0.956 uM,W460-Activity at 2.842 uM,W460-Activity at 4.858 uM,W460-Activity at 8.495 uM,W460-Activity at 25.28 uM,W460-Activity at 36.32 uM,W460-Activity at 76.68 uM,W460-Activity at 182.0 uM,W460-Activity at 407.0 uM,W460-Activity at 910.0 uM,W460-Activity at 2034.7 uM,W460-Activity at 4832.4 uM,W460-Activity at 10805.3 uM,W460-Activity at 24160.5 uM,W460-Activity at 54023.0 uM,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0004332835 uM,Ratio-Activity at 0.00130 uM,Ratio-Activity at 0.00388 uM,Ratio-Activity at 0.00490 uM,Ratio-Activity at 0.012 uM,Ratio-Activity at 0.035 uM,Ratio-Activity at 0.057 uM,Ratio-Activity at 0.105 uM,Ratio-Activity at 0.315 uM,Ratio-Activity at 0.650 uM,Ratio-Activity at 0.956 uM,Ratio-Activity at 2.842 uM,Ratio-Activity at 4.857 uM,Ratio-Activity at 8.495 uM,Ratio-Activity at 25.28 uM,Ratio-Activity at 36.32 uM,Ratio-Activity at 76.68 uM,Ratio-Activity at 182.0 uM,Ratio-Activity at 406.9 uM,Ratio-Activity at 909.9 uM,Ratio-Activity at 2034.6 uM,Ratio-Activity at 4832.0 uM,Ratio-Activity at 10804.6 uM,Ratio-Activity at 24159.8 uM,Ratio-Activity at 54023.0 uM,W530-Curve_Description,W530-Fit_LogAC50,W530-Fit_HillSlope,W530-Fit_R2,W530-Fit_InfiniteActivity,W530-Fit_ZeroActivity,W530-Fit_CurveClass,W530-Excluded_Points,W530-Max_Response,W530-Activity at 0.0004332835 uM,W530-Activity at 0.00130 uM,W530-Activity at 0.00388 uM,W530-Activity at 0.00490 uM,W530-Activity at 0.012 uM,W530-Activity at 0.035 uM,W530-Activity at 0.057 uM,W530-Activity at 0.105 uM,W530-Activity at 0.315 uM,W530-Activity at 0.650 uM,W530-Activity at 0.956 uM,W530-Activity at 2.842 uM,W530-Activity at 4.857 uM,W530-Activity at 8.495 uM,W530-Activity at 25.28 uM,W530-Activity at 36.32 uM,W530-Activity at 76.68 uM,W530-Activity at 182.0 uM,W530-Activity at 406.9 uM,W530-Activity at 909.9 uM,W530-Activity at 2034.6 uM,W530-Activity at 4832.0 uM,W530-Activity at 10804.6 uM,W530-Activity at 24159.8 uM,W530-Activity at 54023.0 uM,Compound QC
562,26757612,22932,CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164195-01/21156028,,Inconclusive,,,,Complete curve; partial efficacy; poor fit,-8.5,4.9549,0.5711,-43.3117,-13.5943,-1.4,0 0 0 1 0 1 0 0 0 0 0 0 0 0 0,-53.3463,,-22.6833,-7.4155,-51.8572,-24.8954,-54.3721,5.2203,-31.8614,-44.3814,-36.6888,-47.4424,-38.5762,-43.4215,,-45.6881,-30.6268,-53.3463,,,,,,,,,,,,,,,4,,-1.0236,,13.426,6.5155,12.9659,6.2626,7.7203,23.4274,6.5434,2.5185,4.1436,18.4405,10.9536,7.7185,,12.2977,17.2837,-1.0236,,,,,,,,,,,,,,,4,,-32.0582,,-27.2222,-11.5191,-40.8264,-18.5997,-39.6751,-19.3963,-23.228,-28.0389,-26.4501,-43.2632,-32.5171,-34.6821,,-39.203,-32.9347,-32.0582,,,,,,,,,QC'd by SigmaAldrich
563,26757614,112412,CC(C)(C1=CC=CC=C1)C2=CC(=C(C(=C2)N3N=C4C=CC=CC4=N3)O)C(C)(C)C5=CC=CC=C5,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164197-01/21156982,,Inconclusive,0.0355,14.1874,,,,,,,,4,,-32.714,,-4.1961,5.5193,-44.4368,-9.2022,6.0264,-16.1987,-25.4695,-19.9364,8.9406,-18.0069,7.2558,-36.2002,,4.6654,-14.9138,-32.714,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 1 1 0 0 1,5.5838,,-1.282,2.0431,9.187,5.8463,2.9222,13.8023,2.1641,4.5527,14.7868,4.0781,27.1717,-7.2709,,19.1297,15.7948,5.5838,,,,,,,,,Complete curve; partial efficacy; poor fit,-7.45,4.9549,0.666,-31.9261,-17.7387,-1.4,0 0 1 0 0 0 0 0 0 0 0 0 0 0 0,-38.2717,,-18.9972,-14.96,-46.7306,-23.2442,-14.3656,-36.5123,-30.1922,-29.0669,-22.9345,-30.0751,-32.0392,-32.9686,,-30.1375,-36.2083,-38.2717,,,,,,,,,QC'd by SigmaAldrich
564,26757615,164282,CC1(CC(CC(N1)(C)C)OC(=O)CCCCCCCCC(=O)OC2CC(NC(C2)(C)C)(C)C)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164198-01/21155747,,Cytotoxic,0.5012,28.3698,,Partial curve; high efficacy; poor fit,-5.4,0.4,0.5176,-82.6312,-14.4043,-2.3,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,-60.8382,,-24.8453,29.1045,-26.379,-15.6322,-14.6148,-43.3243,-25.0978,-5.2347,-42.9262,-61.479,-56.0938,-31.0131,,-41.5666,-86.4616,-60.8382,,,,,,,,,,,,,,,4,,-12.3315,,-8.1889,0.5325,-4.3515,0.132,0.8201,11.3408,-0.7177,-2.5025,7.9415,8.1661,9.2803,-2.4805,,14.2753,-8.1397,-12.3315,,,,,,,,,Complete curve; partial efficacy; poor fit,-6.3,4.9549,0.7489,-47.1285,-18.7587,-1.4,0 1 0 0 0 1 0 0 0 0 0 0 0 0 0,-39.0947,,-22.2497,2.9853,-23.2743,-19.1397,-21.3142,-45.5505,-24.359,-11.6746,-42.8913,-53.7904,-50.2737,-30.2674,,-46.9834,-59.1666,-39.0947,,,,,,,,,QC'd by SigmaAldrich
565,26757618,222464,CC1=CC(=C(C=C1)NC(=O)CC(=O)C)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164201-01/21156440,,Inconclusive,0.0126,39.7709,,,,,,,,4,1 0 0 0 0 0 0 1 0 0 0 0 0 0 1,43.4024,,-24.0471,1.2059,5.0218,17.3273,-8.9122,-22.5312,-35.8283,-1.3654,-24.3255,-11.2619,-30.2896,-34.6741,,-14.7792,-38.1836,43.4024,,,,,,,,,,,,,,,4,,-3.1274,,-0.8268,-3.8262,15.8773,0.141,3.6777,-0.1227,0.1806,14.2813,5.6887,5.318,8.9882,0.6594,,14.9871,9.0122,-3.1274,,,,,,,,,Complete curve; partial efficacy; poor fit,-7.9,0.3,0.7317,-38.2805,1.4904,-1.4,1 0 0 1 0 0 0 0 0 0 0 0 0 0 1,15.4704,,-26.8239,-8.758,-19.2046,0.5173,-19.626,-25.6715,-31.3869,-21.0098,-29.944,-22.7135,-34.5517,-33.6799,,-31.5307,-39.4004,15.4704,,,,,,,,,QC'd by SigmaAldrich
566,26757619,7635,CCCCC(CC)COC(=O)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164202-01/21156488,,Activator,0.02,14,,Complete curve; partial efficacy; poor fit,-6.8,3.5117,0.4942,26.1321,-15.3737,1.4,1 0 0 0 0 0 0 0 0 1 0 0 0 0 1,-18.0598,,5.9362,-15.8052,-7.4638,-7.4754,-22.5692,-11.5379,-23.5681,54.5923,53.4168,-24.5773,1.3358,44.9386,,-6.6526,14.9299,-18.0598,,,,,,,,,Complete curve; partial efficacy; poor fit,-7.7,1.8851,0.5733,26,12,1.4,0 0 1 0 0 0 1 0 0 0 0 0 0 0 0,21.4393,,17.1696,9.0615,26.9076,11.9186,22.2747,26.6,5.0269,29.3069,35.252,26.6716,27.9113,23.1333,,21.0356,19.2254,21.4393,,,,,,,,,,,,,,,4,,-27.432,,-13.6318,-18.2783,-24.6594,-13.0648,-30.7945,-28.8663,-17.8021,5.995,-0.9024,-35.3171,-21.7869,2.3666,,-23.3248,-8.7171,-27.432,,,,,,,,,QC'd by SigmaAldrich
567,26757620,25059,C(#N)C(C(=O)N)(Br)Br,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164203-01/21156025,,Inconclusive,28.1838,62.7499,,Partial curve; high efficacy; poor fit,-4.35,3.132,0.765,-112.93,0.6925,-2.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-105.651,,-2.7725,32.8545,4.0957,13.764,-3.9675,5.5262,-1.2774,5.7506,12.107,-17.5409,-33.6709,9.6406,,-18.0562,-30.5221,-105.651,,,,,,,,,Single point of activity,-4.6,4.9549,0.8965,-76.4784,4.5709,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-31.2518,,0.8686,1.4819,2.7517,1.6528,-0.0323,15.9825,-3.5148,8.5695,-0.0377,-0.6329,14.0636,12.5407,,0.6616,-62.6001,-31.2518,,,,,,,,,Single point of activity,-4.55,4.9549,0.6955,58.302,-4.4479,3,0 0 0 0 0 0 0 0 0 0 1 0 0 0 1,-51.4881,,-7.9078,13.5511,-2.5515,5.3497,-6.0286,-12.9723,0.1361,-5.2109,3.1771,-14.4968,-31.2007,-9.3017,,-16.4236,45.3124,-51.4881,,,,,,,,,QC'd by SigmaAldrich
568,26757622,31243,CSC1=CC=C(C=C1)Cl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164205-01/21156100,,Cytotoxic,0.0251,38.3719,,Complete curve; partial efficacy; poor fit,-8.55,2.4064,0.4381,-34.5923,0.9219,-1.4,1 0 0 0 0 1 0 0 0 0 0 0 0 0 1,-9.922,,-47.7535,-10.8984,-30.2395,-26.8843,-34.0986,23.0391,-22.6357,-49.2436,-32.4479,-41.0326,-27.1593,-43.5718,,-27.6321,-37.2063,-9.922,,,,,,,,,,,,,,,4,0 0 0 0 0 1 0 0 0 0 0 0 0 0 1,1.9881,,0.2274,2.3749,0.0528,-2.3209,-4.8777,20.6682,-6.6189,-2.4173,4.9411,-1.7189,0.8923,0.2112,,12.6214,13.8384,1.9881,,,,,,,,,Complete curve; partial efficacy; poor fit,-7.6,0.2,0.7395,-35.4261,2.9458,-1.4,1 0 0 0 0 1 1 0 0 0 0 0 0 0 1,-7.6859,,-29.7664,-9.2118,-16.9601,-12.1129,-16.5098,-6.1547,-6.3897,-25.2837,-22.9036,-23.6333,-16.8204,-27.3937,,-26.5056,-30.7718,-7.6859,,,,,,,,,QC'd by SigmaAldrich
569,26757628,80037,C1=C(C=C(C(=C1Cl)O)Cl)N,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164211-01/21156599,,Inconclusive,44.6684,36.0822,,,,,,,,4,,0.9756,,-5.534,11.6074,-15.2312,-6.3081,-25.1435,2.1021,-2.5449,-26.4716,-21.1554,-12.7303,-18.3384,-11.2481,,-19.7087,-12.2677,0.9756,,,,,,,,,Single point of activity,-4.35,4.4495,0.6325,-31.2663,-1.2891,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-33.2037,,1.8689,-10.1849,9.6868,1.0495,-11.945,-9.0824,2.5274,-1.7025,7.1804,-5.4375,-0.9998,-2.0386,,0.9709,-5.2035,-33.2037,,,,,,,,,Single point of activity,-4.35,4.9549,0.7186,27.7379,-8.3442,3,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,32.3913,,-7.5851,13.8445,-15.4902,-3.3183,-6.866,6.0899,-2.4154,-13.421,-18.2885,-5.0647,-10.8922,-7.892,,-14.6564,-4.8063,32.3913,,,,,,,,,QC'd by SigmaAldrich
570,26757633,6937,CC1=CC(=C(C=C1)C(C)(C)C)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164216-01/21156214,,Inconclusive,0.0018,32.1105,,,,,,,,4,,-61.678,,46.567,-23.1502,-19.3966,50.0628,-8.7527,-48.0901,44.2777,-20.8274,-5.4582,9.7886,-35.6374,-26.2153,,-28.6764,-5.177,-61.678,,,,,,,,,,,,,,,4,,-5.221,,3.6198,-17.8104,-6.4528,-3.1121,-10.7947,-13.8374,2.0456,-6.7388,-0.2788,8.807,-14.38,-6.2704,,-9.3923,-2.9622,-5.221,,,,,,,,,Complete curve; partial efficacy; poor fit,-8.75,2.3332,0.4632,-27.0601,5.0505,-1.4,0 0 0 1 0 0 1 0 0 0 0 0 0 0 0,-50.2564,,4.2389,-17.3398,-23.4191,18.8845,-13.9605,-37.3121,9.841,-23.1009,-20.7319,-19.3134,-28.1913,-30.0253,,-29.4372,-19.0986,-50.2564,,,,,,,,,QC'd by SigmaAldrich
571,26757635,17304,COP(=S)(OC)Cl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164218-01/21156384,,Inconclusive,0.0013,32.7338,,,,,,,,4,,-14.6817,,32.9784,-46.2846,4.2248,-28.7955,-14.6681,35.4808,-29.2279,-21.12,-4.1505,-43.7372,-5.1014,17.5871,,18.4953,-15.5931,-14.6817,,,,,,,,,,,,,,,4,,-1.0617,,-3.7233,-17.8955,0.3875,-4.2278,-1.3209,13.926,3.5877,8.3366,1.5936,3.4074,11.8999,13.6284,,9.5715,7.5099,-1.0617,,,,,,,,,Complete curve; partial efficacy; poor fit,-8.9,4.9549,0.5844,-24.7338,8,-1.4,0 0 0 0 0 1 0 0 0 1 0 0 0 0 0,-23.3345,,3.3674,-29.3964,-12.8559,-27.1101,-23.044,-10.4112,-33.1115,-31.9732,-20.0088,-43.4285,-27.582,-19.4573,,-16.0685,-30.3816,-23.3345,,,,,,,,,QC'd by SigmaAldrich
572,26757636,77781,COC(=O)CCSCCC(=O)OC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164219-01/21155687,,Inconclusive,7.9433,43.8157,,,,,,,,4,,10.9244,,-21.7965,-5.7543,44.9746,-25.7853,-12.7157,-31.8355,-20.4033,-4.313,-12.7278,-19.3163,0.9047,-39.3592,,-34.4861,-39.0085,10.9244,,,,,,,,,,,,,,,4,,7.631,,-7.1492,-10.7891,5.0993,11.2532,3.9619,-12.1315,-13.6806,5.3759,8.3484,5.6305,8.6717,-3.2498,,19.8486,-0.4845,7.631,,,,,,,,,Partial curve; partial efficacy; poor fit,-5.1,0.4,0.5983,-49.4768,-5.6611,-2.4,0 0 1 1 0 0 0 0 0 0 0 0 0 0 1,-6.7299,,-15.5655,-1.3843,15.8242,-27.2535,-16.8558,-16.7719,-4.5794,-11.8609,-20.4276,-22.4855,-13.0107,-28.5274,,-39.9807,-29.1333,-6.7299,,,,,,,,,QC'd by SigmaAldrich
573,26757639,2771871,C(=O)/C(=C(\C(=O)O)/Cl)/Cl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164222-01/21155858,,Inconclusive,50.1187,81.857,,Single point of activity,-4.35,4.9549,0.647,-79.2486,2.3187,-3,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-85.3632,,44.6895,29.7175,6.9496,1.8574,3.1049,5.2115,-26.6528,-15.4534,-10.5461,-2.9331,30.573,-15.9035,,20.6154,-8.9965,-85.3632,,,,,,,,,Single point of activity,-4.3,3.99,0.8956,-94.8454,-1.1563,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-103.127,,-0.5265,-8.9621,3.8773,-5.2875,-2.6286,-1.3535,-6.7359,-3.5101,0.9268,-3.487,12.5025,-8.622,,1.0712,-7.3812,-103.127,,,,,,,,,Single point of activity,-4.3,3.5117,0.7849,85.2603,3.4033,3,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,92.6937,,25.4914,25.8884,3.9525,9.3242,5.6054,4.2051,-7.6125,-2.8536,-5.2063,1.9534,9.1923,-2.8518,,10.3508,1.2765,92.6937,,,,,,,,,QC'd by SigmaAldrich
574,26757641,6931,C1=CC(=C(C=C1O)C(F)(F)F)[N+](=O)[O-],Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164224-01/21156501,,Inconclusive,,,,Partial curve; partial efficacy; poor fit,-4.55,3.5117,0.7741,56.3337,-3.9594,2.4,0 0 0 0 0 1 0 0 0 0 1 0 0 0 0,54.0898,,-5.579,17.6922,1.9511,3.6099,-17.6885,21.2916,-15.5082,-15.5537,8.4983,-10.0355,38.6971,-5.0333,,2.1754,36.4014,54.0898,,,,,,,,,,,,,,,4,0 0 0 0 1 1 0 0 0 0 0 0 0 0 1,3.9552,,5.0243,5.0642,-0.0438,-7.868,-14.7955,18.7254,1.2996,-2.8093,-0.987,-1.5823,15.9896,7.6992,,15.5698,20.0571,3.9552,,,,,,,,,,,,,,,4,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,13.4474,,-22.8514,-8.3873,-11.6756,-2.2997,-12.4554,-17.7816,-22.153,-19.2205,-8.2701,-19.3999,-5.1197,-24.348,,-25.6944,-9.3447,13.4474,,,,,,,,,QC'd by SigmaAldrich
575,26757642,67000,CC1(C(=O)NC(=O)N1CO)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164225-01/21155777,,Cytotoxic,8.9125,37.8702,,Partial curve; partial efficacy; poor fit,-5.3,1,0.8272,-54.5888,20.5551,-2.4,0 0 0 1 0 0 0 0 0 1 0 0 0 0 1,-7.5153,,29.9569,19.1672,21.5886,-26.4155,1.263,34.8768,29.954,-6.5423,14.8817,-56.937,-1.0342,-22.6348,,-39.7662,-45.4906,-7.5153,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1 1 0 0,-4.5046,,13.1163,16.8324,8.2551,3.5298,0.2034,4.8705,9.6286,4.8497,3.1608,0.9315,2.2546,-9.6832,,8.7809,-5.5053,-4.5046,,,,,,,,,Partial curve; partial efficacy; poor fit,-5.05,1.4641,0.7655,-41.2022,-3.332,-2.4,0 0 0 1 0 0 0 0 0 1 0 0 0 0 1,-8.0139,,-3.9116,-11.1545,-0.8375,-23.4274,-6.6657,5.5117,3.9096,-13.6332,-1.9455,-42.0915,-9.9441,-14.5631,,-37.8085,-30.7294,-8.0139,,,,,,,,,QC'd by SigmaAldrich
576,26757644,41690,C1CCC(CC1)C2CCC(=O)CC2,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164227-01/21157075,,Inconclusive,,,,Complete curve; partial efficacy; poor fit,-8.1,4.9549,0.6132,42.2484,-32.6009,1.4,0 1 0 0 0 1 0 0 0 0 0 0 0 0 0,13.3861,,-30.9174,11.0155,-28.497,33.6133,57.6008,1.9199,54.5552,-8.2164,59.5177,52.4709,19.3288,57.7592,,59.7922,50.628,13.3861,,,,,,,,,,,,,,,4,,-1.3225,,3.3708,-13.1621,-5.52,-2.1573,1.2687,4.0185,-11.0194,11.3361,1.1641,8.7394,2.9755,-6.8502,,20.9485,2.016,-1.3225,,,,,,,,,,,,,,,4,,-0.4106,,-29.4415,6.8127,-20.7006,14.0274,22.1632,-11.914,34.854,-18.6576,22.4727,12.006,-0.6806,26.5398,,4.8441,16.7502,-0.4106,,,,,,,,,QC'd by SigmaAldrich
577,26757656,7564,C1=CC=C(C=C1)NC2=CC=C(C=C2)N,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164239-01/21156556,,Inconclusive,,,,Single point of activity,-4.95,0.6,0.6727,104.992,-4.5356,3,0 0 0 0 0 0 1 0 0 0 0 0 1 0 1,15.0171,,-11.5125,6.6723,-18.4316,20.1896,-7.5796,-8.9211,45.8833,-4.4028,24.8135,41.1931,28.6296,11.9671,,3.0219,82.039,15.0171,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1 0 0 1,4.2624,,-0.6491,11.7395,2.7429,1.3363,0.2518,3.9737,7.408,-5.2438,19.2887,6.5978,17.581,-10.5302,,10.7011,29.5424,4.2624,,,,,,,,,,,,,,,4,0 0 0 1 0 0 0 0 0 0 0 0 1 0 0,7.2269,,-6.3975,-3.1504,-10.3073,14.7716,-3.0123,-7.468,24.4169,4.8023,1.2538,19.3556,4.8892,15.7245,,-5.9005,23.1473,7.2269,,,,,,,,,QC'd by SigmaAldrich
578,26757657,9920342,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H]([C@@H]1[C@@H]([C@H](CO1)O)O)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164240-01/21155725,,Inconclusive,,,,Complete curve; partial efficacy; poor fit,-5.6,3.99,0.4044,-32.4353,2.457,-1.4,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0,-57.1369,,10.3731,-18.8861,-14.2302,12.3388,-6.8299,53.5036,-26.1529,10.6641,33.2931,22.842,-35.1582,-9.4514,,-40.9046,-14.4336,-57.1369,,,,,,,,,,,,,,,4,,-13.6901,,9.0252,-15.6956,-9.222,1.4593,-2.3862,12.3165,-1.1245,7.0649,15.495,6.2913,7.0257,-2.3782,,-6.8033,-1.6508,-13.6901,,,,,,,,,,,,,,,4,0 0 0 0 0 1 1 0 0 0 0 0 0 0 0,-28.0381,,-5.6689,-2.2961,-3.6746,5.6322,-5.2082,15.1689,-16.5092,-0.6286,3.4781,4.4527,-27.7258,-8.5478,,-24.1279,-11.2133,-28.0381,,,,,,,,,QC'd by SigmaAldrich
579,26757658,6547,CC(C)(C#N)N=NC(C)(C)C#N,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164241-01/21156380,,Inconclusive,0.0141,15.606,,,,,,,,4,,-46.2998,,-34.9457,-13.8579,-45.7076,-20.519,-37.2881,-24.9102,-57.9768,-48.7063,-8.9713,-54.6984,-50.0755,-61.1805,,-31.3578,-48.1972,-46.2998,,,,,,,,,,,,,,,4,,-0.3907,,-7.995,-3.2229,-4.2463,2.7866,5.2182,6.8306,-1.243,-6.6805,11.4414,6.9322,0.2983,-8.8627,,-3.9337,5.4939,-0.3907,,,,,,,,,Complete curve; partial efficacy; poor fit,-7.85,1.331,0.5197,-38.4313,-22.8253,-1.4,0 0 0 0 0 0 0 0 1 1 0 0 0 0 0,-38.1658,,-26.5409,-16.9377,-33.7996,-22.8014,-37.2022,-33.5633,-42.891,-32.7184,-26.8257,-49.6413,-41.0555,-42.0346,,-28.4724,-44.5261,-38.1658,,,,,,,,,QC'd by SigmaAldrich
580,26757661,13762,CCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164244-01/21156054,,Inconclusive,,,,,,,,,,4,,-62.7034,,-8.0698,-57.9637,-38.7303,-38.7722,-45.3332,5.2921,-44.3709,-45.4526,-43.3417,-32.1163,-20.0037,-9.6051,,-16.395,-32.0105,-62.7034,,,,,,,,,Single point of activity,-4.4,4.9549,0.7879,-39.6251,6.5,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-40.093,,4.553,1.5536,8.0263,-3.6221,3.3518,12.0263,2.6785,-4.5721,14.3422,14.4714,6.7002,9.632,,16.4833,-6.2637,-40.093,,,,,,,,,,,,,,,4,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0,-10.0014,,-22.7748,-47.326,-39.8771,-29.1352,-41.0343,-21.8714,-38.1454,-33.47,-48.1633,-42.433,-29.2384,-27.938,,-36.9778,-26.1285,-10.0014,,,,,,,,,QC'd by SigmaAldrich
581,26757664,16666,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164247-01/21156788,,Inconclusive,,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 0 0 0 1 1,37.6873,,-10.1234,74.2933,5.2911,32.1802,43.2883,-6.9159,0.8048,54.5049,55.4331,-14.8935,-23.245,5.4076,,-20.4853,64.053,37.6873,,,,,,,,,Partial curve; partial efficacy; poor fit,-4.9,0.7,0.6308,42,3.7338,2.4,0 0 0 0 0 0 0 0 0 0 0 1 0 0 1,14.9559,,-3.5551,13.3361,9.5648,2.9494,10.2587,13.8724,0.6612,9.2316,11.9613,6.6097,10.2145,-11.9249,,23.2795,33.0805,14.9559,,,,,,,,,,,,,,,4,,4.6013,,-10.6907,24.5443,-8.4515,13.8656,11.4838,-19.6605,-3.8267,19.4598,16.1207,-19.6369,-25.3567,6.0576,,-32.1662,5.0688,4.6013,,,,,,,,,QC'd by SigmaAldrich
582,26757666,9993,C1=CC(=CC=C1F)Br,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164249-01/21156667,,Inconclusive,,,,Partial curve; partial efficacy; poor fit,-4.85,3.99,0.6287,-63.0221,-24.8714,-2.4,1 0 1 0 0 0 0 1 0 0 0 0 0 0 1,-33.9003,,-65.1907,-44.9498,4.6413,-19.5233,-40.1703,-27.0773,-20.7465,-64.7505,-16.9859,-26.8382,-19.4636,-24.3919,,-47.1237,-61.869,-33.9003,,,,,,,,,,,,,,,4,,0.2598,,-26.8788,-5.8396,8.0623,-10.2893,-16.068,1.2931,-2.2325,-15.6092,-2.3131,-0.9991,4.8773,-8.8608,,3.1134,-4.5985,0.2598,,,,,,,,,,,,,,,4,,-31.1388,,-30.6259,-33.4587,-15.1165,-11.9068,-22.1758,-29.9807,-19.9538,-35.8899,-20.4199,-27.2556,-26.8931,-21.0162,,-42.3238,-44.5413,-31.1388,,,,,,,,,QC'd by SigmaAldrich
